dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.0010,4.2010,-51.2162,51.2194,1.9999
0.0020,4.2020,-51.2280,51.2343,1.9999
0.0030,4.2030,-51.2398,51.2492,1.9998
0.0040,4.2040,-51.2516,51.2642,1.9998
0.0050,4.2050,-51.2634,51.2791,1.9997
0.0060,4.2060,-51.2752,51.2940,1.9996
0.0070,4.2070,-51.2870,51.3090,1.9996
0.0080,4.2080,-51.2988,51.3239,1.9995
0.0090,4.2120,-51.3554,51.3837,1.9994
0.0100,4.2100,-51.3224,51.3538,1.9994
0.0110,4.2130,-51.3640,51.3987,1.9993
0.0120,4.2120,-51.3460,51.3837,1.9993
0.0130,4.2120,-51.3428,51.3837,1.9992
0.0140,4.2140,-51.3695,51.4136,1.9991
0.0150,4.2150,-51.3813,51.4286,1.9991
0.0160,4.2240,-51.5127,51.5632,1.9990
0.0170,4.2160,-51.3900,51.4435,1.9990
0.0180,4.2120,-51.3271,51.3837,1.9989
0.0190,4.2180,-51.4136,51.4734,1.9988
0.0200,4.2200,-51.4403,51.5033,1.9988
0.0210,4.2210,-51.4521,51.5183,1.9987
0.0220,4.2240,-51.4938,51.5632,1.9987
0.0230,4.2320,-51.6102,51.6830,1.9986
0.0240,4.2240,-51.4875,51.5632,1.9985
0.0250,4.2250,-51.4993,51.5782,1.9985
0.0260,4.2380,-51.6905,51.7729,1.9984
0.0270,4.2390,-51.7023,51.7879,1.9983
0.0280,4.2280,-51.5346,51.6231,1.9983
0.0290,4.2340,-51.6212,51.7129,1.9982
0.0300,4.2300,-51.5582,51.6530,1.9982
0.0310,4.2470,-51.8093,51.9078,1.9981
0.0320,4.2240,-51.4623,51.5632,1.9980
0.0330,4.2240,-51.4591,51.5632,1.9980
0.0340,4.2500,-51.8447,51.9528,1.9979
0.0350,4.2350,-51.6172,51.7279,1.9979
0.0360,4.2480,-51.8084,51.9228,1.9978
0.0370,4.2550,-51.9100,52.0279,1.9977
0.0380,4.2560,-51.9218,52.0429,1.9977
0.0390,4.2510,-51.8438,51.9678,1.9976
0.0400,4.2400,-51.6761,51.8028,1.9976
0.0410,4.2640,-52.0321,52.1630,1.9975
0.0420,4.2420,-51.6997,51.8328,1.9974
0.0430,4.2570,-51.9209,52.0579,1.9974
0.0440,4.2680,-52.0825,52.2232,1.9973
0.0450,4.2300,-51.5110,51.6530,1.9973
0.0460,4.2320,-51.5377,51.6830,1.9972
0.0470,4.2300,-51.5047,51.6530,1.9971
0.0480,4.2720,-52.1297,52.2833,1.9971
0.0490,4.2630,-51.9917,52.1480,1.9970
0.0500,4.2500,-51.7940,51.9528,1.9969
0.0510,4.2330,-51.5369,51.6979,1.9969
0.0520,4.2640,-51.9971,52.1630,1.9968
0.0530,4.2400,-51.6351,51.8028,1.9968
0.0540,4.2660,-52.0207,52.1931,1.9967
0.0550,4.2350,-51.5542,51.7279,1.9966
0.0560,4.2560,-51.8647,52.0429,1.9966
0.0570,4.2750,-52.1459,52.3284,1.9965
0.0580,4.2920,-52.3977,52.5844,1.9964
0.0590,4.2480,-51.7357,51.9228,1.9964
0.0600,4.2600,-51.9119,52.1029,1.9963
0.0610,4.2700,-52.0583,52.2532,1.9963
0.0620,4.2780,-52.1750,52.3736,1.9962
0.0630,4.2840,-52.2617,52.4639,1.9961
0.0640,4.2880,-52.3184,52.5241,1.9961
0.0650,4.2900,-52.3452,52.5542,1.9960
0.0660,4.2900,-52.3420,52.5542,1.9960
0.0670,4.2880,-52.3089,52.5241,1.9959
0.0680,4.2840,-52.2457,52.4639,1.9958
0.0690,4.2780,-52.1527,52.3736,1.9958
0.0700,4.2700,-52.0297,52.2532,1.9957
0.0710,4.2600,-51.8770,52.1029,1.9957
0.0720,4.2480,-51.6947,51.9228,1.9956
0.0730,4.3070,-52.5747,52.8106,1.9955
0.0740,4.2920,-52.3464,52.5844,1.9955
